Year	USA Wine Consumption per Capita (Gallons)	USA Wine Consumption Total (Gallons)	CA Wine Production (Gallons)	USA Wine Production (Gallons)	CA Grape Crush Total (Gallons)	USA Grape Crush Total (Gallons)	CA Wine Shipments - Total (Gallons)	CA Wine Shipments - USA Only (Gallons)	USA Annual Unemployment Rate	Republican in office	National Debt (Millions)	National Debt (Percent of GDP)	CPI
2008	2.48	753000000	545855584	619684922	3670000	3940000	570200000	466700000	5.8	1	9985757	70.2	215.303
2007	2.47	745000000	565951772	637671821	3670000	3920000	554000000	456500000	4.6	1	8950744	65.6	207.342
2006	2.39	717000000	557129712	623258574	3490000	3720000	541100000	449200000	4.6	1	8451350	65.0	201.6
2005	2.33	692000000	648183911	715942737	4330000	4550000	532800000	441200000	5.1	1	7905300	64.6	195.3
2004	2.26	665000000	547027396	608868255	3620000	3820000	521700000	428200000	5.5	1	7354657	63.9	188.9
2003	2.20	639000000	524007226	587878254	3370000	3580000	493500000	417000000	6.0	1	6760014	62.6	184
2002.00	2.14	617000000.00	491352590.00	551698239.00	3790000.00	4000000.00	464300000.00	401000000.00	5.8	1.00	6198401.00	59.7	179.90
2001	2.01	574000000	525340922	586105571	3370000	3570000	449100000	387000000	4.7	1	5769881	57.4	177.1
2000	2.01	568000000	564735000	616399000	3950000	4130000	445900000	392000000	4.0	0	5628700	58.0	172.2
1999	2.02	543000000	449465000	502655000	3190000	3350000	443100000	397000000	4.2	0	5605523	61.4	166.6
1998	1.95	526000000	443698000	494097000	3170000	3310000	432500000	385000000	4.5	0	5478189	63.5	163
1997	1.94	519000000	483555000	534247000	3890000	4340000	423100000	384000000	4.9	0	5369206	65.6	160.5
1996	1.89	500000000	418376000	460081000	2910000	3040000			5.4	0	5181465	67.3	156.9
1995	1.77	464000000	397042000	437034000	3170000	3310000			5.6	0	4920586	67.2	152.4
1994	1.77	459000000			3190000	3350000			6.1	0	4643307	66.7	148.2
1993	1.74	449000000			3190000	3350000			6.9	0	4351044	66.1	144.5
1992	1.87	476000000			3170000	3310000			7.5	1	4001787	64.1	140.3
1991	1.85	466000000			3190000	3350000			6.8	1	3598178	60.6	136.2
1990	2.05	509000000			2580000	2700000			5.6	1	3206290	55.9	130.7
1989	2.11	524000000			2720000	2850000			5.3	1	2867800	53.1	124
1988	2.24	551000000			2840000	2980000			5.5	1	2601104	51.9	118.3
1987	2.39	581000000			2490000	2650000			6.2	1	2345956	50.4	113.6
1986	2.43	587000000			2790000	2910000			7.0	1	2120501	48.1	109.6
1985	2.43	580000000			2840000	2920000			7.2	1	1817423	43.8	107.6
1984	2.34	555000000			2580000	2690000			7.5	1	1564586	40.7	103.9
1983	2.25	528000000			2310000	2420000			9.6	1	1371660	39.8	99.6
1982	2.22	514000000			3120000	3230000			9.7	1	1137315	35.3	96.5
1981	2.20	506000000			2420000	2520000			7.6	1	994828	32.5	90.9
1980	2.11	480000000			2900000	3000000			7.1	0	909041	33.4	82.4
1979	1.98	444000000			2620000	2710000			5.8	0	829467	33.1	72.6
1978	1.96	435000000			2540000	2670000			6.1	0	776602	35.0	65.2
1977	1.82	401000000			2410000	2410000			7.1	0	706398	35.8	60.6
1976	1.73	376000000							7.7	1	628970	36.2	56.9
1975	1.71	368000000							8.5	1	541925	34.7	53.8
1974	1.64	349000000							5.6	1	483893	33.6	49.3
1973	1.64	347000000							4.9	1	466291	35.6	44.4
1972	1.61	337000000							5.6	1	435936	37.0	41.8
1971	1.48	305000000							5.9	1	408176	37.8	40.5
1970.00	1.31	267000000.00							4.9	1.00	380921.00	37.6	38.80
1969	1.17	236000000							3.5	1	365769	38.6	36.7
1968	1.07	214000000							3.6	0	368685	42.5	34.8
1967	1.03	203000000							3.8	0	340445	42.0	33.4
1966	0.98	191000000							3.8	0	328498	43.5	32.4
1965	0.98	190000000							4.5	0	322318	46.9	31.5
1964	0.97	186000000							5.2	0	316059	49.3	31
1963	0.93	176000000							5.7	0	310324	51.8	30.6
1962	0.90	168000000							5.5	0	302928	53.4	30.2
1961	0.94	172000000							6.7	0	292648	55.2	29.9
1960	0.91	163000000							5.5	1	290525	56.0	29.6
1959	0.89	156000000							5.5	1	287465	58.6	29.1
1958	0.89	155000000							6.8	1	279666	60.8	28.9
1957	0.89	152000000							4.3	1	272252	60.4	28.1
1956	0.90	150000000							4.1	1	272693	63.9	27.2
1955	0.88	145000000							4.4	1	274366	69.3	26.8
1954	0.88	142000000							5.5	1	270812	71.8	26.9
1953	0.89	141000000							2.9	1	265963	71.4	26.7
1952	0.88	138000000							3.0	0	259097	74.3	26.5
1951	0.83	127000000							3.3	0	255288	79.7	26
1950	0.93	140000000							5.3	0	256853	94.0	24.1
1949	0.89	133000000							5.9	0	252610	93.1	23.8
1948	0.84	122000000							3.8	0	252031	98.2	24.1
1947	0.67	97000000								0	257149	110.3	22.3
1946	1.00	140000000								0	270991	121.7	19.5
1945	0.71	94000000								0	260123	117.5	18
1944	0.74	99000000								0	204079	97.6	17.6
1943	0.73	98000000								0	142648	79.1	17.3
1942	0.84	113000000								0	79200	54.9	16.3
1941	0.76	101000000								0	57531	50.4	14.7
1940	0.68	90000000								0	50696	52.4	14
